Network Penetration,Nimbus,Prysm,Lighthouse,Teku,Lodestar,Unknown
0,13.81,10.13,31.52,14.54,0.17,29.8
1,4.15,29.73,38.18,22.37,5.555,0.0
2,0.38,55.7,4.55,39.35,0.0,0.0
3,0.06,40.79,22.86,23.77,0.0,12.5
