Network Penetration,manifold,no_mev_boost,agnostic,aestus,bloxroute_regulated,edennetwork,ultra_sound_money,bloxroute_maxprofit,flashbots
0,0,4.65,0.55,1.68,10.26,0.07,10.93,9.78,7.24
1,0.09,14.98,10.09,2.45,15.66,0.08,21.82,18.84,9.48
2,0.1,5.87,11.82,2.92,16.79,0.63,13.12,15.93,32.78
3,0.03,2.87,0.0,5.47,23.49,0.01,20.24,26.16,9.2
