Index,Country,Client,ISP,Subnets,Aggregate
159,687,642,48,850,2227
317,687,642,48,850,2227
563,687,642,48,850,2227
685,687,642,34,850,2213
148,687,642,33,850,2212
265,687,642,33,850,2212
384,687,642,33,850,2212
390,687,642,33,850,2212
531,687,642,33,850,2212
632,687,642,33,850,2212
50,687,642,29,850,2208
102,687,642,29,850,2208
110,687,642,29,850,2208
164,687,642,29,850,2208
181,687,642,29,850,2208
365,687,642,29,850,2208
430,687,642,29,850,2208
451,687,642,29,850,2208
476,687,642,29,850,2208
494,687,642,29,850,2208
629,687,642,29,850,2208
673,687,642,29,850,2208
695,687,642,29,850,2208
775,687,642,29,850,2208
838,687,642,28,850,2207
114,687,642,18,850,2197
149,687,642,9,850,2188
375,687,642,8,850,2187
479,687,642,8,850,2187
761,687,642,8,850,2187
57,687,642,7,850,2186
433,687,642,7,850,2186
543,687,642,7,850,2186
477,687,642,3,850,2182
755,687,642,3,850,2182
524,687,642,2,850,2181
599,687,642,2,850,2181
613,687,642,2,850,2181
513,687,642,1,850,2180
538,687,642,1,850,2180
699,687,642,1,850,2180
3,56,894,373,850,2173
612,56,894,373,850,2173
320,37,894,373,850,2154
657,37,894,373,850,2154
17,29,894,373,850,2146
35,29,894,373,850,2146
261,29,894,373,850,2146
576,29,894,373,850,2146
780,29,894,373,850,2146
833,29,894,373,850,2146
146,11,894,373,850,2128
370,11,894,373,850,2128
45,230,894,145,850,2119
585,230,894,145,850,2119
810,230,894,145,850,2119
817,230,894,145,850,2119
122,230,894,123,850,2097
297,230,642,373,850,2095
732,230,642,373,850,2095
751,230,642,373,850,2095
831,230,642,373,850,2095
416,687,146,373,850,2056
426,687,146,373,850,2056
514,687,146,373,850,2056
1610,687,894,373,100,2054
12,230,894,34,850,2008
42,230,894,34,850,2008
597,230,894,34,850,2008
798,230,894,34,850,2008
1439,687,894,373,52,2006
11,230,894,18,850,1992
1292,687,894,373,38,1992
84,230,894,16,850,1990
150,230,894,16,850,1990
174,230,894,16,850,1990
350,230,894,16,850,1990
486,230,894,16,850,1990
637,230,894,16,850,1990
1190,687,894,373,26,1980
1193,687,894,373,26,1980
232,111,642,373,850,1976
315,111,642,373,850,1976
376,111,642,373,850,1976
529,230,894,1,850,1975
535,230,894,1,850,1975
1238,687,894,373,20,1974
1137,687,894,373,17,1971
147,79,894,145,850,1968
631,79,894,145,850,1968
795,79,894,145,850,1968
1078,687,894,373,13,1967
1086,687,894,373,13,1967
852,687,894,373,12,1966
858,687,894,373,12,1966
1043,687,894,373,10,1964
864,687,894,373,9,1963
867,687,894,373,9,1963
869,687,894,373,9,1963
881,687,894,373,9,1963
906,687,894,373,9,1963
1096,687,894,373,9,1963
924,687,894,373,3,1957
226,79,642,373,850,1944
503,79,642,373,850,1944
610,79,642,373,850,1944
835,79,642,373,850,1944
275,74,642,373,850,1939
392,74,642,373,850,1939
507,74,642,373,850,1939
49,70,894,123,850,1937
520,70,894,123,850,1937
584,70,894,123,850,1937
624,70,894,123,850,1937
6,56,642,373,850,1921
10,56,642,373,850,1921
23,56,642,373,850,1921
44,56,642,373,850,1921
47,56,642,373,850,1921
61,56,642,373,850,1921
69,56,642,373,850,1921
73,56,642,373,850,1921
77,56,642,373,850,1921
99,56,642,373,850,1921
104,56,642,373,850,1921
143,56,642,373,850,1921
154,56,642,373,850,1921
165,56,642,373,850,1921
184,56,642,373,850,1921
185,56,642,373,850,1921
194,56,642,373,850,1921
277,56,642,373,850,1921
289,56,642,373,850,1921
326,56,642,373,850,1921
336,56,642,373,850,1921
372,56,642,373,850,1921
480,56,642,373,850,1921
482,56,642,373,850,1921
485,56,642,373,850,1921
519,56,642,373,850,1921
540,56,642,373,850,1921
541,56,642,373,850,1921
551,56,642,373,850,1921
552,56,642,373,850,1921
562,56,642,373,850,1921
578,56,642,373,850,1921
605,56,642,373,850,1921
611,56,642,373,850,1921
661,56,642,373,850,1921
674,56,642,373,850,1921
680,56,642,373,850,1921
719,56,642,373,850,1921
745,56,642,373,850,1921
752,56,642,373,850,1921
757,56,642,373,850,1921
760,56,642,373,850,1921
786,56,642,373,850,1921
802,56,642,373,850,1921
818,56,642,373,850,1921
819,56,642,373,850,1921
820,56,642,373,850,1921
357,687,10,373,850,1920
1858,687,894,145,192,1918
496,39,642,373,850,1904
754,39,642,373,850,1904
13,37,642,373,850,1902
292,37,642,373,850,1902
325,37,642,373,850,1902
505,37,642,373,850,1902
